X,GeneID,MajorityProteinIDs,logFC_RIK.CTRL,adjpval_RIK.CTRL
542,NUP155,O75694,-1.37,0.000434291
543,NUP160,Q12769,9.1,5.33e-05
544,NUP188,Q5SRE5,6.23,0.004799908
545,NUP214,P35658,3.15,0.198887262
546,NUP43,Q8NFH3,5.39,0.002108827
547,NUP62,P37198,1.24,0.433647765
548,NUP85,Q9BW27,7.07,0.000362227
549,NUP93,Q8N1F7,1.81,0.000363146
550,NUP98,P52948,2.09,0.415268008
551,NXF1,Q9UBU9,0.466,0.848041091
552,OAT,P04181,-0.0415,0.925512302
553,OSGEP,Q9NPF4,3.61,0.019742163
554,P01619,P01619,-1.44,0.001209756
555,P0DP25,P0DP25,1.06,0.0538778
556,P4HA1,P13674,4.83,0.011450194
557,P4HB,P07237,3.13,0.083121462
558,PABPC1,P11940,-0.488,0.010987391
559,PABPC4,Q13310,-0.906,0.019778138
560,PABPN1,Q86U42,-1.54,0.002739416
561,PAM16,Q9Y3D7,-0.397,0.856884884
562,PARP1,P09874,-0.434,0.728115487
563,PCBP1,Q15365,-1.44,0.000193807
564,PCBP2,Q15366,-1.35,3.22e-05
565,PCMT1,P22061,-0.761,0.094014975
566,PCMTD2,Q9NV79,-0.156,0.939798449
567,PCNA,P12004,1.16,0.000120431
568,PDCD6,O75340,-1.66,0.213336003
569,PDCD6IP,Q8WUM4,-1.85,0.196527958
570,PDHA1,P08559,1.74,0.50961927
571,PDHB,P11177,0.566,0.050868435
572,PDLIM7,Q9NR12,4.25,0.036748979
573,PELO,Q9BRX2,4.7,0.01370786
574,PFKL,P17858,4.2,0.093238176
575,PFKM,P08237,4.51,0.022735981
