X,GeneID,MajorityProteinIDs,pval_DVL3.CTRL,pval_PRICKLE1.CTRL,pval_ROR1.CTRL,pval_ROR2.CTRL,pval_VANGL2.CTRL,adjpval_DVL3.CTRL,adjpval_PRICKLE1.CTRL,adjpval_ROR1.CTRL,adjpval_ROR2.CTRL,adjpval_VANGL2.CTRL,logFC_DVL3.CTRL,logFC_PRICKLE1.CTRL,logFC_ROR1.CTRL,logFC_ROR2.CTRL,logFC_VANGL2.CTRL
625,OLA1,Q9NTK5,0.132053211,0.709052421,0.915802618,0.259970985,0.404099356,0.881,0.928,0.956,0.866,0.869,-0.792,-0.193,-0.0547,-0.588,0.434
626,P0DP25,P0DP25,0.027566623,0.003196435,0.143205174,0.030988471,0.2833488,0.827,0.855,0.909,0.776,0.853,-1.99,-2.73,-1.29,-1.94,-0.94
627,P4HB,P07237,0.037077961,0.025794795,0.084117205,0.779010596,0.938955525,0.839,0.886,0.891,0.904,0.903,-2.25,-2.42,-1.85,-0.294,-0.0801
628,PA2G4,Q9UQ80,0.400581176,0.004230317,0.041731083,0.761217437,0.115374174,0.912,0.86,0.864,0.903,0.81,-0.869,-3.13,-2.16,-0.313,-1.65
629,PABPC1,P11940,0.007311311,0.387397215,0.129279958,0.559679111,0.483860276,0.769,0.92,0.906,0.893,0.876,3.23,0.991,-1.76,0.667,-0.801
630,PABPC4,Q13310,0.32993791,0.764668779,0.886783139,0.79691255,0.603189807,0.907,0.929,0.955,0.905,0.885,0.838,0.256,0.122,-0.22,-0.445
631,PAICS,P22234,0.330313018,0.136694848,0.271013673,0.571714023,0.909765541,0.907,0.907,0.928,0.894,0.902,-1.05,-1.62,-1.19,-0.609,0.122
632,PAK4,O96013,0.148928611,5.39e-06,2.55e-05,3.82e-07,0.209624823,0.885,0.711,0.229,0.0691,0.84,1.14,4.16,3.76,4.84,0.991
633,PALD1,Q9ULE6,0.478934019,0.863658321,0.852759334,0.511770401,0.00133444,0.916,0.931,0.954,0.89,0.487,-0.489,-0.118,-0.128,0.453,2.39
634,PALLD,Q8WX93,0.801499933,0.036618306,0.465163085,0.470900951,0.818678455,0.929,0.89,0.941,0.887,0.898,0.197,1.69,0.574,0.567,0.18
635,PALM,O75781,0.319095617,0.259571901,0.198821375,0.002755669,0.456509124,0.906,0.915,0.919,0.632,0.874,0.555,0.63,0.72,1.77,0.414
636,PARK7,Q99497,0.369045827,0.000544622,0.077884733,0.312575135,0.45454496,0.909,0.825,0.889,0.873,0.874,-0.929,-3.89,-1.85,-1.05,-0.772
637,PBK,Q96KB5,0.351981143,0.000536461,0.086088447,0.747264192,0.922331867,0.908,0.824,0.892,0.903,0.902,0.598,2.42,1.12,0.206,0.0623
638,PCBP1,Q15365,0.22182975,0.28996492,0.85130071,0.66759018,0.481829714,0.896,0.916,0.954,0.899,0.876,0.475,-0.41,-0.0721,-0.165,0.272
639,PCBP2,Q15366,0.156214193,0.294593815,0.947008914,0.919744748,0.212419222,0.886,0.917,0.956,0.91,0.84,1.25,0.915,0.0576,0.0873,1.09
640,PCMT1,P22061,0.555721981,0.170024792,0.758301659,0.878677906,0.842312321,0.92,0.91,0.952,0.908,0.899,-0.205,-0.484,-0.107,0.0531,-0.0692
641,PCNA,P12004,0.914280926,0.035560862,0.064672801,0.98646742,0.663798205,0.932,0.89,0.882,0.912,0.889,-0.123,-2.49,-2.17,0.0194,-0.499
642,PCNP,Q8WW12,0.040185017,6.85e-05,0.774701873,0.022121435,0.060467969,0.842,0.78,0.952,0.759,0.775,1.01,2.15,-0.137,1.14,0.922
643,PDAP1,Q13442,3.44e-07,2.84e-09,0.749424909,1.23e-06,7.77e-06,0.108,0.392,0.952,0.108,0.112,4.24,5.34,-0.217,3.95,3.54
644,PDCD5,O14737,0.40117751,0.744973558,0.406672507,0.745295727,0.696688682,0.912,0.929,0.938,0.902,0.891,0.858,0.331,-0.848,0.331,0.397
645,PDHA1,P08559,0.014302876,2.31e-05,0.003274255,0.216920223,0.004369822,0.8,0.753,0.707,0.86,0.589,-2.3,-4.37,-2.82,-1.12,-2.72
646,PDHB,P11177,0.000531814,0.003775075,0.000570631,0.264281459,0.012159503,0.611,0.858,0.543,0.867,0.669,-3.73,-3.03,-3.7,-1.11,-2.58
647,PDHX,O00330,0.005910274,0.008619427,0.026460699,0.202920972,0.016579987,0.758,0.871,0.842,0.857,0.692,-2.96,-2.81,-2.34,-1.31,-2.54
648,PDIA3,P30101,0.019676145,0.009033873,0.021077548,0.273915665,0.277938743,0.814,0.871,0.831,0.868,0.852,-2.77,-3.13,-2.74,-1.26,-1.25
649,PDIA4,P13667,0.012677469,0.054728624,0.090133004,0.711953952,0.681738386,0.795,0.896,0.894,0.901,0.89,-2.34,-1.77,-1.55,0.332,-0.369
650,PDIA6,Q15084,0.031551874,2.75e-05,0.003544028,0.21202484,0.140736543,0.833,0.757,0.713,0.859,0.82,-2.39,-5.15,-3.34,-1.36,-1.61
651,PDZD8,Q8NEN9,0.042187116,0.318559117,0.16818809,0.299771705,0.048093174,0.843,0.917,0.914,0.871,0.762,-1.32,-0.631,0.877,-0.656,1.28
652,PEBP1,P30086,0.141428651,0.070873446,0.084169316,0.619885427,0.494139737,0.883,0.899,0.891,0.896,0.877,-1.9,-2.36,-2.25,-0.633,-0.874
653,PFKP,Q01813,0.045559713,0.118476409,0.12446131,0.457879495,0.827784055,0.846,0.905,0.905,0.886,0.898,-1.88,-1.45,-1.43,-0.681,0.199
654,PFN1,P07737,0.364458133,0.15059436,0.214329077,0.799262742,0.970073145,0.909,0.908,0.921,0.905,0.904,-1.31,-2.1,-1.8,-0.365,0.0539
655,PGAM1,P18669,0.152739723,0.032047458,0.079750146,0.246335362,0.230133361,0.885,0.889,0.89,0.864,0.844,-2.02,-3.09,-2.49,-1.63,-1.69
656,PGAM5,Q96HS1,0.174736183,0.143094515,0.068120607,0.579952512,0.355751564,0.889,0.908,0.884,0.894,0.863,-0.697,-0.753,-0.947,-0.281,-0.471
657,PGK1,P00558,0.205329241,0.007238477,0.129055385,0.629242327,0.375782439,0.894,0.868,0.906,0.897,0.866,-1.84,-4.08,-2.22,-0.696,-1.28
658,PGRMC1,O00264,0.161163679,0.04859866,0.093106251,0.909708335,1.99e-06,0.887,0.894,0.895,0.909,0.0635,-0.995,-1.42,-1.2,0.0794,3.96
659,PHB1,P35232,0.070288897,0.015442761,0.090279601,0.391779499,0.370253758,0.861,0.879,0.894,0.881,0.865,-2.72,-3.71,-2.54,-1.26,-1.32
660,PHB2,Q99623,0.300761826,0.014353722,0.064031194,0.879511919,0.871849525,0.904,0.878,0.881,0.908,0.9,-1.15,-2.83,-2.1,-0.168,-0.178
661,PHF5A,Q7RTV0,0.809405163,0.537080365,0.075952977,0.825432528,0.166996955,0.929,0.924,0.888,0.906,0.829,-0.117,-0.299,-0.877,-0.107,-0.677
662,PHF6,Q8IWS0,0.196557077,0.788554406,0.223120251,0.479309284,0.323817617,0.893,0.929,0.922,0.888,0.859,0.806,0.166,-0.76,0.438,0.613
663,PHGDH,O43175,0.913656869,0.057318593,0.205569851,0.644414064,0.902237535,0.932,0.896,0.92,0.898,0.901,-0.096,-1.73,-1.13,0.409,-0.109
664,PIH1D1,Q9NWS0,0.009941969,0.267378732,0.412363364,0.567062812,2.38e-06,0.784,0.915,0.938,0.893,0.0685,2.07,0.854,0.628,0.438,4.27
665,PKM,P14618,0.838236645,0.869665291,0.886925382,0.243803854,0.533194305,0.93,0.931,0.955,0.864,0.88,-0.0955,-0.0767,-0.0665,0.55,0.292
666,PKMYT1,Q99640,0.686857531,0.303670068,0.140738219,0.898717708,0.582034361,0.925,0.917,0.909,0.909,0.884,-0.271,-0.697,1.01,0.0856,0.371
667,PLEKHG1,Q9ULL1,0.690105765,2.62e-08,0.501347482,0.180468236,0.75885719,0.925,0.501,0.943,0.853,0.894,-0.164,2.92,0.277,0.558,-0.126
668,PNP,P00491,0.772499214,0.439384811,0.925814309,0.848580869,0.720735351,0.928,0.922,0.956,0.907,0.892,0.161,-0.434,0.052,-0.107,-0.2
669,POLR2B,P30876,0.143343243,0.72231879,0.975126552,0.4203439,0.487754197,0.883,0.928,0.957,0.883,0.877,0.881,0.211,0.0185,-0.48,0.413
670,PPA1,Q15181,0.563431889,0.550036424,0.231446811,0.984548978,0.767061136,0.92,0.924,0.923,0.912,0.895,-0.426,-0.441,-0.89,-0.0143,-0.218
671,PPFIBP1,Q86W92,0.984760654,0.00219209,0.000420023,2.2e-07,0.882323897,0.934,0.849,0.511,0.0551,0.901,0.0138,2.37,2.8,4.62,0.107
672,PPP1R13B,Q96KQ4,0.749646271,2.25e-07,0.467030622,0.034638235,0.941862627,0.927,0.596,0.941,0.782,0.903,0.225,4.5,0.515,1.54,0.0515
673,PPP2CA,P67775,0.279303334,0.025147505,0.005340516,0.569749538,0.369402415,0.902,0.886,0.744,0.893,0.865,-0.642,-1.37,-1.74,-0.335,-0.531
674,PPP2R1A,P30153,0.215567171,0.005851963,0.011419895,0.02501206,0.136924756,0.895,0.865,0.796,0.765,0.819,-1.04,-2.42,-2.2,-1.93,-1.25
675,PPP2R2A,P63151,0.614486984,0.137848075,0.154435634,0.463054383,0.077521202,0.922,0.907,0.912,0.886,0.789,-0.426,-1.27,-1.22,-0.622,-1.53
676,PRDX1,Q06830,0.194471019,0.092248171,0.866297047,0.695791647,0.089602986,0.892,0.902,0.955,0.9,0.797,-0.451,-0.591,-0.0579,-0.134,-0.596
677,PRDX2,P32119,0.347393873,3.13e-06,0.00425557,0.181100297,0.319997884,0.908,0.694,0.727,0.853,0.859,-0.337,-1.97,-1.08,-0.483,-0.357
678,PRDX3,P30048,0.255494205,0.20906758,0.661548965,0.32007532,0.771560727,0.9,0.912,0.949,0.874,0.895,-1.02,-1.12,-0.388,0.886,-0.257
679,PRDX4,Q13162,0.417967929,0.668183071,0.931243793,0.532645661,0.93508271,0.913,0.927,0.956,0.891,0.903,0.502,0.265,-0.0533,0.386,-0.0503
680,PRDX6,P30041,0.733399773,0.144019511,0.666865046,0.273535487,0.630180551,0.927,0.908,0.949,0.868,0.887,0.161,-0.699,-0.203,0.521,0.227
681,PRPS1,P60891,0.231191427,0.001378851,0.063523013,0.592222214,0.458482435,0.897,0.841,0.881,0.895,0.874,-0.865,-2.47,-1.36,-0.384,-0.532
682,PRPS2,P11908,0.055483239,8.21e-05,0.002061823,0.11668654,0.15722814,0.853,0.785,0.667,0.836,0.826,-1.29,-2.89,-2.16,-1.04,-0.938
683,PSMA1,P25786,0.198968684,0.005990476,0.005866348,0.604602202,0.256128053,0.893,0.865,0.751,0.895,0.849,-0.778,-1.74,-1.74,-0.31,-0.686
684,PSMA2,P25787,0.0186053,0.015136548,0.030625187,0.443549717,0.105880366,0.811,0.879,0.849,0.885,0.806,-1.81,-1.87,-1.65,-0.568,-1.22
685,PSMA3,P25788,0.279573255,0.073829396,0.132685765,0.023693849,0.000165812,0.902,0.899,0.907,0.763,0.306,-0.461,-0.774,-0.646,-0.993,-1.77
686,PSMB5,P28074,0.257598154,0.010467055,0.097108897,0.896453738,0.61048776,0.9,0.873,0.897,0.909,0.886,-0.797,-1.87,-1.18,-0.0907,-0.356
687,PSMB6,P28072,0.069146201,0.056801852,0.042324351,0.479379932,0.051646372,0.861,0.896,0.864,0.888,0.766,-1.23,-1.29,-1.38,-0.468,-1.32
688,PSMC2,P35998,0.004345433,0.025012384,0.663589304,0.956313774,0.049350352,0.742,0.885,0.949,0.911,0.763,2.34,1.8,-0.337,-0.0424,1.56
689,PSMC5,P62195,0.106590147,0.373610196,0.443102693,0.654029373,0.059903286,0.875,0.919,0.94,0.898,0.775,1.21,0.659,-0.567,0.33,1.42
690,PSMD2,Q13200,0.012951139,0.065634838,0.048705942,0.088604235,0.741659891,0.796,0.898,0.87,0.824,0.894,-1.88,-1.37,-1.47,-1.26,-0.239
691,PTBP1,P26599,0.067246952,0.002691367,0.271113094,0.187306247,0.06173938,0.86,0.853,0.928,0.854,0.776,-0.705,-1.21,-0.417,-0.502,-0.721
692,PTGES3,Q15185,0.002770714,0.001691073,0.001258042,0.305220536,0.634860243,0.717,0.845,0.622,0.872,0.887,-2.55,-2.7,-2.78,-0.824,-0.379
693,PTMA,P06454,0.112164655,0.006501863,0.067232103,0.871393259,0.273518395,0.876,0.866,0.883,0.908,0.852,-2.52,-4.47,-2.92,-0.252,-1.72
694,PTMS,P20962,0.365886692,0.012439531,0.455403008,0.102721046,0.194102026,0.909,0.876,0.94,0.831,0.836,-0.973,-2.8,-0.802,-1.78,-1.41
695,PTPN14,Q15678,0.728090841,6.71e-06,0.000145121,2.64e-07,0.838214201,0.927,0.718,0.398,0.0595,0.898,-0.2,3.02,2.44,3.64,0.117
696,Q96M66,Q96M66,0.000142566,0.009813898,0.013166755,0.843610079,0.583661755,0.512,0.872,0.804,0.907,0.884,-3.29,-2.1,-2.01,0.153,0.425
697,EPRS1 /// QARS1,P47897,0.254470995,0.56265739,0.641235492,0.845246554,0.008247251,0.9,0.925,0.948,0.907,0.64,0.721,0.364,-0.292,0.122,-1.74
698,R3HDM1,Q15032,9.25e-06,0.384172152,0.902385156,0.000563297,0.669084545,0.298,0.92,0.955,0.515,0.889,3.27,0.554,-0.0777,2.39,0.271
699,R3HDM2,Q9Y2K5,8.03e-07,0.338780587,0.549714977,0.322857524,0.190872732,0.146,0.918,0.945,0.874,0.835,3.15,0.51,-0.317,0.527,-0.701
700,RAB10,P61026,0.31046695,0.820384347,0.56809259,0.975228412,0.604112715,0.905,0.93,0.946,0.912,0.885,-0.742,0.165,0.415,-0.0225,0.377
701,RAB11A,P62491,0.092181272,0.006459018,0.284196858,0.870607151,0.934120074,0.87,0.866,0.929,0.908,0.903,-1.21,-2.02,-0.76,-0.115,0.0581
702,RAB11FIP2,Q7L804,0.970589796,0.000671546,0.645291254,0.026878267,0.800419359,0.934,0.829,0.948,0.769,0.897,0.0225,2.26,0.281,1.4,0.154
703,RAB1A,P62820,0.745864507,0.480853819,0.182318123,0.722585542,0.59785117,0.927,0.923,0.917,0.901,0.885,0.217,-0.472,-0.902,0.237,0.353
704,RAB1B,Q9H0U4,0.797206103,0.253658523,0.857631354,0.111130766,0.241702965,0.929,0.915,0.954,0.834,0.846,0.213,-0.955,0.149,1.35,0.98
705,RAB29,O14966,0.626428183,0.967723989,0.907431117,0.654027377,4.95e-05,0.923,0.932,0.956,0.898,0.215,0.313,0.0259,0.0745,0.288,2.95
706,RAB5C,P51148,0.873966805,0.61081313,0.200886958,0.289093405,0.479197765,0.931,0.926,0.919,0.87,0.876,-0.137,-0.441,-1.12,0.925,0.615
707,RAB6B,Q9NRW1,0.000961043,0.530610721,0.531785694,0.517249392,0.702703718,0.651,0.924,0.944,0.89,0.891,3.34,0.586,0.584,0.605,0.356
708,RALY,Q9UKM9,0.058669373,0.358433278,0.31503628,0.193495426,0.15771908,0.855,0.919,0.932,0.855,0.826,-1.21,-0.576,-0.631,-0.821,-0.894
709,RAN,P62826,0.005731732,0.096860299,0.916467268,0.180758074,0.116506956,0.756,0.903,0.956,0.853,0.811,1.1,0.639,-0.0396,0.512,0.603
710,RANBP1,P43487,0.362930194,0.822635756,0.142651697,0.91616524,0.283393494,0.909,0.93,0.909,0.909,0.853,0.922,0.226,-1.5,-0.106,1.09
711,RAPGEF6,E9PCH4,5.43e-05,3.3e-07,0.105289616,5.43e-05,0.810070591,0.435,0.612,0.899,0.331,0.897,2.48,3.39,0.896,2.48,-0.131
712,RARS1,P54136,0.005849271,0.000741095,0.506307984,0.085820572,0.150975908,0.758,0.83,0.943,0.823,0.824,2.56,3.23,-0.586,1.54,1.28
713,RASSF8,Q8NHQ8,0.603505647,2.59e-06,0.483094459,0.148072157,0.714127928,0.922,0.687,0.942,0.845,0.892,0.362,3.88,0.49,1.02,0.255
714,RBBP4,Q09028,0.574431843,0.010152207,0.014639367,0.223264199,0.962017616,0.921,0.873,0.81,0.861,0.904,-0.681,-3.26,-3.09,-1.49,-0.0576
715,RBM11,P57052,0.766199365,0.000359695,0.849067344,0.007636873,0.762998267,0.928,0.816,0.954,0.699,0.895,0.242,3.19,-0.155,2.29,-0.245
716,RBM14,Q96PK6,0.579357037,0.250674,0.74727058,0.527097311,0.56109173,0.921,0.915,0.951,0.891,0.882,-0.217,-0.453,0.126,-0.248,-0.228
717,RBM22,Q9NW64,0.796680199,0.4840592,0.535096151,0.715819481,0.906894545,0.929,0.923,0.944,0.901,0.902,-0.251,-0.684,-0.606,-0.355,-0.114
718,RBM27,Q9P2N5,0.344194574,7.54e-11,0.748840289,0.810441602,0.856107625,0.908,0.22,0.952,0.905,0.899,-0.548,5.27,0.184,-0.138,0.104
719,RBM39,Q14498,0.102967005,0.001876731,0.0004241,0.053916788,0.053642846,0.873,0.847,0.512,0.803,0.768,-1.45,-2.92,-3.38,-1.73,-1.73
720,RBM8A,Q9Y5S9,0.003434611,0.167585592,0.121083735,0.213690999,0.504287349,0.729,0.91,0.904,0.859,0.878,-2.21,-0.99,-1.12,-0.889,-0.474
721,RBMS1,P29558,1.84e-06,0.627349474,0.097190018,0.800140561,0.692182032,0.191,0.926,0.897,0.905,0.891,3.32,0.284,0.987,0.148,0.231
722,RBMX,P38159,0.130114622,0.184621431,0.631298681,0.790092235,0.353267709,0.881,0.911,0.948,0.904,0.863,-2.29,-2,-0.714,-0.396,-1.39
723,RC3H1,Q5TC82,0.028975572,0.850549679,0.73070092,0.230745245,0.139291932,0.829,0.93,0.951,0.862,0.82,1.23,0.102,-0.187,-0.657,-0.815
724,RCC2,Q9P258,0.899340499,0.726468666,0.385428615,0.587810937,0.493864979,0.932,0.928,0.937,0.894,0.877,0.119,-0.33,-0.823,0.512,-0.647
725,RDX,P35241,0.714520668,0.072774709,0.094550423,1.52e-05,0.41543868,0.926,0.899,0.896,0.24,0.87,-0.211,1.06,0.984,2.88,-0.472
726,REPS1,Q96D71,0.213908498,2.51e-05,0.005422187,3.06e-06,0.283640663,0.895,0.755,0.746,0.148,0.853,0.713,2.74,1.67,3.13,0.613
727,RHOA,P61586,0.510600356,0.263903272,0.028909119,0.94098747,0.955278617,0.918,0.915,0.847,0.91,0.904,-0.377,-0.645,-1.29,0.0423,-0.0321
728,RICTOR,Q6R327,0.823869015,2.12e-11,0.001192706,8.39e-07,0.225713286,0.93,0.17,0.617,0.0938,0.843,-0.122,5.28,1.92,3.26,0.672
729,RNPEP,Q9H4A4,0.049272735,0.256661121,0.337287775,0.172470735,0.46020224,0.849,0.915,0.933,0.851,0.874,-1.29,-0.73,-0.616,-0.882,-0.473
730,RNPS1,Q15287,0.652289492,0.167508216,0.171421381,0.837944065,0.013195055,0.924,0.91,0.915,0.906,0.675,-0.327,-1.01,-1,-0.148,1.88
731,RPA1,P27694,0.589520648,0.711382261,0.625856691,0.508879217,0.842857206,0.921,0.928,0.948,0.89,0.899,0.433,0.297,0.391,0.531,-0.159
732,RPGRIP1L,Q68CZ1,0.902303886,2.58e-12,0.341807604,0.796282014,0.769990955,0.932,0.102,0.934,0.905,0.895,0.0605,5.15,0.471,0.127,0.144
733,RPL10,P27635,0.320256866,5.53e-05,0.047679146,0.397168218,0.083625859,0.906,0.775,0.869,0.881,0.793,-0.646,-2.95,-1.32,-0.549,-1.14
734,RPL10A,P62906,0.00544709,0.007251204,0.024179361,0.354779576,0.166003105,0.754,0.868,0.838,0.877,0.829,-3.2,-3.08,-2.55,-1.01,-1.53
735,RPL11,P62913,0.598128049,0.229551796,0.428059247,0.244690502,0.992651828,0.922,0.913,0.939,0.864,0.905,0.185,-0.424,-0.278,-0.411,0.00322
736,RPL12,P30050,0.59771571,0.262019306,0.376400342,0.996483,0.809987074,0.922,0.915,0.936,0.912,0.897,-0.468,-1,-0.788,-0.0039,0.213
737,RPL13,P26373,0.331558345,0.042353241,0.070893466,0.274223772,0.13063121,0.907,0.892,0.885,0.868,0.817,-0.717,-1.53,-1.36,-0.809,-1.13
738,RPL13A,P40429,0.454137886,0.338414268,0.309828706,0.64271085,0.284757414,0.915,0.918,0.931,0.897,0.854,0.521,-0.668,-0.71,-0.322,-0.748
739,RPL14,P50914,0.272121608,0.00746318,0.500624217,0.261626914,0.586609326,0.901,0.869,0.943,0.867,0.884,-0.681,-1.73,-0.415,-0.696,-0.335
740,RPL15,P61313,0.451138606,0.418942971,0.152261247,0.900932121,0.579627591,0.915,0.921,0.911,0.909,0.884,0.276,0.297,0.531,0.0455,0.203
741,RPL17-C18orf32,A0A0A6YYL6,0.029878395,5.01e-05,0.213398661,0.108434091,0.2478158,0.83,0.773,0.921,0.833,0.847,-0.938,-1.92,-0.525,-0.682,-0.487
742,RPL18,Q07020,0.941714913,0.38865754,0.904832981,0.616298848,0.386554845,0.933,0.92,0.955,0.896,0.867,0.0363,-0.431,-0.0594,-0.249,-0.432
743,RPL18A,Q02543,0.51955587,0.748130867,0.46625938,0.788932711,0.408087349,0.918,0.929,0.941,0.904,0.869,0.207,-0.103,0.234,0.0858,0.266
744,RPL19,P84098,0.291192486,0.010767222,0.052245889,0.313744026,0.389356389,0.903,0.874,0.873,0.873,0.867,-1.67,-4.2,-3.13,-1.59,-1.36
745,RPL21,P46778,0.548818162,0.014854209,0.045030376,0.629041795,0.680258043,0.92,0.878,0.867,0.897,0.89,0.445,-1.88,-1.53,0.358,-0.305
746,RPL22,P35268,0.470210983,0.536495363,0.114378396,0.716886457,0.538911882,0.916,0.924,0.902,0.901,0.881,-0.445,-0.38,-0.987,-0.223,-0.378
747,RPL23,P62829,0.482507117,0.073552028,0.252418714,0.923253098,0.851843445,0.916,0.899,0.926,0.91,0.899,0.237,-0.617,-0.389,0.0324,0.0629
748,RPL23A,P62750,0.33439056,0.000221912,0.102030411,0.892552792,0.412531332,0.907,0.807,0.898,0.909,0.87,-0.597,-2.52,-1.03,-0.083,-0.506
749,RPL24,P83731,0.295662879,0.101163381,0.14405307,0.530353049,0.491897251,0.904,0.903,0.91,0.891,0.877,0.373,-0.591,-0.524,-0.222,0.244
750,RPL26,P61254,0.407181957,0.00072415,0.095408377,0.818611151,0.636156492,0.912,0.83,0.896,0.906,0.887,0.283,-1.25,-0.578,-0.0779,-0.161
751,RPL27,P61353,0.070132646,0.708948436,0.507400729,0.382453098,0.335801219,0.861,0.928,0.943,0.88,0.861,0.637,-0.128,-0.228,0.302,0.333
752,RPL27A,P46776,0.415223331,0.051411827,0.169028867,0.229297331,0.483090351,0.912,0.895,0.914,0.862,0.876,-0.287,-0.702,-0.489,-0.426,-0.247
753,RPL28,P46779,0.03102525,0.436099734,0.467454212,0.644748306,0.926642167,0.832,0.921,0.941,0.898,0.903,0.88,0.309,0.288,0.182,0.0363
754,RPL29,P47914,0.322460477,0.024176834,0.470096707,0.062284001,0.419066576,0.906,0.885,0.941,0.809,0.87,-0.697,-1.64,0.507,-1.34,-0.568
755,RPL3,P39023,0.789526427,0.272762395,0.755176357,0.637620219,0.703076989,0.929,0.916,0.952,0.897,0.891,0.172,-0.714,-0.201,0.304,-0.246
756,RPL30,P62888,0.012811929,0.027693777,0.062388178,0.453373111,0.218187038,0.795,0.887,0.88,0.886,0.842,-2.73,-2.39,-2,-0.788,-1.3
757,RPL31,P62899,0.944672518,0.006994612,0.195248251,0.790009929,0.803344193,0.933,0.868,0.919,0.904,0.897,0.0512,-2.1,-0.967,-0.197,-0.184
758,RPL32,P62910,0.229893477,0.061109004,0.390357315,0.142827442,0.516100149,0.897,0.897,0.937,0.844,0.879,-0.525,-0.832,-0.374,-0.644,-0.282
759,RPL34,P49207,0.551850252,0.734248416,0.118784865,0.232169902,0.430298745,0.92,0.928,0.903,0.862,0.871,0.484,-0.276,-1.29,-0.98,0.643
760,RPL35,P42766,0.064445508,0.046240654,0.772544507,0.379876687,0.089344618,0.858,0.894,0.952,0.88,0.797,-1.66,-1.79,-0.253,-0.771,-1.52
761,RPL35A,P18077,0.182802192,0.75562997,0.157878518,0.269987365,0.525780881,0.89,0.929,0.912,0.868,0.88,0.794,0.183,0.843,0.655,0.374
762,RPL36,Q9Y3U8,0.58878287,0.19568067,0.234362167,0.179203697,0.264402417,0.921,0.911,0.924,0.853,0.85,-0.66,-1.6,-1.46,-1.66,-1.37
763,RPL36A,P83881,0.230433642,0.549139482,0.507489282,0.060326083,0.203958803,0.897,0.924,0.943,0.808,0.838,0.453,0.224,0.248,0.72,0.48
764,RPL36AL,Q969Q0,0.010757029,0.311763004,0.767817503,0.773702255,0.253609468,0.787,0.917,0.952,0.904,0.848,-0.882,0.336,-0.0973,-0.0948,0.38
765,RPL37,P61927,0.938587372,0.991425569,0.227322908,0.688336364,0.899982632,0.933,0.933,0.923,0.9,0.901,0.0432,0.00602,0.684,0.225,0.0704
766,RPL37A,P61513,0.295742219,0.250106216,0.156598363,0.67038205,0.369630456,0.904,0.914,0.912,0.899,0.865,0.373,0.411,0.508,0.151,0.319
767,RPL38,P63173,0.318610776,0.008783612,0.050047983,0.149414419,0.448010414,0.906,0.871,0.871,0.846,0.873,-0.414,-1.14,-0.83,-0.603,-0.314
768,RPL39P5,Q59GN2,0.961220386,0.275071751,0.069551167,0.520505915,0.543566418,0.934,0.916,0.884,0.89,0.881,-0.079,-1.79,-3.02,-1.05,-0.989
769,RPL4,P36578,0.023679884,0.004838781,0.009767252,0.033479979,0.047527543,0.821,0.862,0.786,0.78,0.761,-1.19,-1.51,-1.37,-1.11,-1.03
770,RPL5,P46777,0.006763834,0.608612846,0.752859481,0.204375882,0.147721712,0.765,0.926,0.952,0.857,0.823,0.92,-0.165,0.101,0.413,0.473
771,RPL6,Q02878,0.008510737,0.848121148,0.496439867,0.352993349,0.338768123,0.776,0.93,0.942,0.877,0.861,1.06,0.0732,0.261,0.357,0.368
772,RPL7,P18124,0.349686328,0.01753185,0.365274498,0.244182721,0.076654469,0.908,0.881,0.935,0.864,0.788,-0.588,-1.55,-0.569,-0.735,-1.13
773,RPL7A,P62424,0.575155137,0.004668733,0.056219399,0.040539298,0.299742442,0.921,0.861,0.876,0.789,0.856,-0.534,-2.85,-1.86,-2.01,-0.993
774,RPL8,P62917,0.420202325,0.001110772,0.110228483,0.497198357,0.433701444,0.913,0.838,0.901,0.889,0.872,-0.212,-0.922,-0.425,-0.178,-0.205
775,RPL9,P32969,0.495254514,0.577319576,0.101311111,0.535537282,0.543957327,0.917,0.925,0.898,0.891,0.881,0.244,-0.199,-0.597,0.222,0.217
776,RPLP0,P05388,0.148191522,0.017902235,0.231620528,0.844045424,0.602861514,0.884,0.881,0.923,0.907,0.885,-1.93,-3.24,-1.59,-0.258,-0.684
777,RPLP2,P05387,0.780322253,0.257711104,0.164098847,0.198690388,0.98350034,0.928,0.915,0.914,0.856,0.905,-0.301,-1.23,-1.52,-1.4,-0.0223
778,RPN2,P04844,0.716422561,0.117827326,0.069781486,0.913079486,0.796145958,0.926,0.905,0.885,0.909,0.896,-0.382,-1.67,-1.95,-0.115,0.271
779,RPS10,P46783,0.041284745,0.015057152,0.02456467,0.491942509,0.394287055,0.843,0.879,0.839,0.889,0.868,-2.39,-2.89,-2.65,-0.784,-0.974
780,RPS11,P62280,0.163640529,0.619837454,0.993473221,0.442872116,0.195951654,0.887,0.926,0.957,0.885,0.836,0.625,-0.22,-0.00362,0.341,0.58
781,RPS12,P25398,0.037565397,7.27e-08,0.016692551,0.244348606,0.306566469,0.839,0.548,0.818,0.864,0.857,-1.39,-4.36,-1.61,-0.759,-0.665
782,RPS13,P62277,0.680253564,0.027699944,0.180823453,0.835580641,0.681034975,0.925,0.887,0.916,0.906,0.89,-0.555,-3.07,-1.82,-0.279,-0.553
783,RPS14,P62263,0.582772591,0.018172613,0.004209647,0.93984104,0.683615598,0.921,0.881,0.726,0.91,0.89,0.436,-1.95,-2.41,0.0597,0.323
