X,GeneID,MajorityProteinIDs,U1,S1,B1,U2,S2,B2,U3,S3,B3,U4,S4,B4,U5,S5,B5,U6,S6,B6,U7,S7,B7,U8,S8,B8,U9,S9,B9,U10,S10,B10,U11,S11,B11,C1,C2,C3,C4,C5
4561,DCTPP1,Q9H773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5785.3,0,0,0,0,0,0,0,0,0,0,0,17184,0,0,0,0,0,10051,0
4562,SH2D4A,Q9H788,0,0,0,69700,0,0,79141,0,0,34782,0,0,0,0,0,0,0,0,10727,0,0,10278,0,0,101870,0,0,0,0,0,0,0,0,0,0,0,1136800,0
4563,AAMDC,Q9H7C9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75324,0
4564,DOCK5,Q9H7D0,0,0,0,218800,0,0,6668.2,0,0,26942,0,0,118110,0,0,116990,0,0,25067,0,0,43372,0,0,593570,0,0,0,0,0,11196,0,0,0,0,36811,214400,0
4565,WDR26,Q9H7D7,0,1711.2,0,0,0,0,17648,0,0,0,0,0,31556,0,0,68298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4355,0,0,0,0
4566,ATP13A3,Q9H7F0,155010,0,0,142570,0,0,0,0,0,122800,0,0,0,0,0,25668,0,0,78241,0,0,45623,0,0,357470,0,0,964.95,0,0,36048,0,0,45379,0,0,546830,0
4567,VSIR,Q9H7M9,75548,0,0,0,29210,0,32783,0,0,175300,0,0,41230,0,0,35409,0,0,91418,0,0,51073,0,0,86545,0,0,11158,0,0,25029,0,0,0,0,0,0,0
4568,MVB12B,Q9H7P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120970,101780,0
4569,IFT22,Q9H7X7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93204,0,0,0,0,0,0,0
4570,PTGES2,Q9H7Z7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6624.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4571,UBE2Z,Q9H832,0,0,0,0,0,0,0,0,0,81200,0,0,0,0,0,0,0,0,80974,0,0,0,0,0,119060,0,0,0,0,0,167290,0,0,0,0,0,30182,0
4572,ACAD9,Q9H845,0,0,0,0,0,0,0,0,0,0,0,0,62827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4573,TMT1A,Q9H8H3,2966300,1559600,0,149320,479910,0,1723500,831550,0,3510100,1406000,0,1174100,408280,0,523340,771830,0,935240,321980,0,10042,0,0,10132,0,0,436730,189140,0,694820,287590,0,17817,0,17309,0,0
4574,MMRN2,Q9H8L6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10100,35952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12299
4575,CNNM2,Q9H8M5,0,0,0,0,48377,0,0,0,0,0,247530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29887,0,0
4576,GORASP2,Q9H8Y8,50004,0,0,0,0,0,89183,0,0,71893,0,0,0,0,0,0,58467,0,21727,0,0,107580,0,0,67042,0,0,0,0,0,26010,0,0,0,0,0,0,0
4577,RNF121,Q9H920,41895,0,0,34038,0,0,36618,0,0,0,0,0,85531,0,0,43390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4578,QTRT2,Q9H974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4579,WDR54,Q9H977,0,0,0,131050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75889,0
4580,ARMT1,Q9H993,0,0,0,0,0,0,0,0,0,14557,0,0,135270,0,0,24042,0,0,14487,0,0,27029,0,0,162690,0,0,5476.2,0,0,15186,0,0,7579,0,0,83558,0
4581,CNOT10,Q9H9A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6654.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4582,LRRC40,Q9H9A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13896,0,0,6623.7,0,0,0,0,0,0,0,0,0,0,0,0,0
4583,SFXN1,Q9H9B4,67226,9298.8,0,0,0,0,95929,0,0,68518,0,0,0,0,0,129940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9624,0,0,0,0,0,0
4584,COG4,Q9H9E3,0,34943,0,0,48850,41439,12753,0,0,0,85761,0,0,0,0,0,20143,0,0,0,0,0,72339,0,0,79731,26438,0,37393,0,0,60806,28999,0,0,0,0,0
4585,VPS37B,Q9H9H4,95581,32569,0,0,71882,0,65559,20238,0,306940,280330,0,0,38499,0,0,31730,0,499910,174420,0,585910,226880,0,841470,142280,0,124270,82877,0,127380,61926,0,154700,235050,163140,183940,0
